step = 	1	 obj = 	5155.7658	 error = 	0.97965
step = 	2	 obj = 	3131.6246	 error = 	1.0198
step = 	3	 obj = 	3120.2564	 error = 	1.0233
step = 	4	 obj = 	3108.6772	 error = 	1.0245
step = 	5	 obj = 	3095.5333	 error = 	1.025
step = 	6	 obj = 	3079.3962	 error = 	1.0247
step = 	7	 obj = 	3058.1624	 error = 	1.0236
step = 	8	 obj = 	3028.7029	 error = 	1.0208
step = 	9	 obj = 	2988.2259	 error = 	1.0148
step = 	10	 obj = 	2939.2693	 error = 	1.0048
step = 	11	 obj = 	2886.8917	 error = 	0.99232
step = 	12	 obj = 	2831.7744	 error = 	0.97803
step = 	13	 obj = 	2775.32	 error = 	0.96145
step = 	14	 obj = 	2721.2206	 error = 	0.94312
step = 	15	 obj = 	2672.1403	 error = 	0.92451
step = 	16	 obj = 	2628.5479	 error = 	0.90691
step = 	17	 obj = 	2589.6872	 error = 	0.89081
step = 	18	 obj = 	2554.6325	 error = 	0.87618
step = 	19	 obj = 	2522.6892	 error = 	0.86281
step = 	20	 obj = 	2493.3593	 error = 	0.85044
step = 	21	 obj = 	2466.2695	 error = 	0.83892
step = 	22	 obj = 	2441.1514	 error = 	0.82811
step = 	23	 obj = 	2417.8294	 error = 	0.81793
step = 	24	 obj = 	2396.1913	 error = 	0.80827
step = 	25	 obj = 	2376.152	 error = 	0.79907
step = 	26	 obj = 	2357.6215	 error = 	0.79028
step = 	27	 obj = 	2340.4929	 error = 	0.78191
step = 	28	 obj = 	2324.6517	 error = 	0.77391
step = 	29	 obj = 	2309.9915	 error = 	0.76626
step = 	30	 obj = 	2296.421	 error = 	0.75897
step = 	31	 obj = 	2283.8587	 error = 	0.75203
step = 	32	 obj = 	2272.2275	 error = 	0.74544
step = 	33	 obj = 	2261.4527	 error = 	0.73916
step = 	34	 obj = 	2251.4628	 error = 	0.73321
step = 	35	 obj = 	2242.1904	 error = 	0.72757
step = 	36	 obj = 	2233.5756	 error = 	0.72222
step = 	37	 obj = 	2225.5665	 error = 	0.71715
step = 	38	 obj = 	2218.1162	 error = 	0.71233
step = 	39	 obj = 	2211.1785	 error = 	0.70775
step = 	40	 obj = 	2204.7081	 error = 	0.70338
step = 	41	 obj = 	2198.6613	 error = 	0.69922
step = 	42	 obj = 	2192.997	 error = 	0.69527
step = 	43	 obj = 	2187.6785	 error = 	0.69151
step = 	44	 obj = 	2182.6744	 error = 	0.68794
step = 	45	 obj = 	2177.9576	 error = 	0.68453
step = 	46	 obj = 	2173.5031	 error = 	0.68127
step = 	47	 obj = 	2169.2883	 error = 	0.67815
step = 	48	 obj = 	2165.2926	 error = 	0.67515
step = 	49	 obj = 	2161.4979	 error = 	0.67226
step = 	50	 obj = 	2157.888	 error = 	0.66948
step = 	51	 obj = 	2154.4492	 error = 	0.66681
